feature,importance,rank
platform_tenure_months,0.7618440010975217,1
has_savings_account,0.4991355008003145,2
income_stability_score,0.4762351108058574,3
monthly_earnings_inr,0.24117670607403374,4
platform_reliability_score,0.2103544740235942,5
income_volatility_coefficient,0.20605765416118643,6
upi_transaction_consistency_score,0.19558715084163925,7
income_gap_months_last_year,0.1876208739904222,8
dependents_count,0.18384329651216735,9
debt_stress_score,0.1692482517658845,10
digital_engagement_score,0.10015013309515848,11
financial_resilience_score,0.09740685386540815,12
weekly_work_consistency,0.0823799914874083,13
platform_rating,0.06918814355696841,14
earnings_efficiency,0.06520261894209141,15
cancellation_rate,0.039789220909908316,16
income_experience_ratio,0.03642791220529245,17
work_intensity_score,0.03606661760710625,18
rent_to_income_ratio,0.025221799035025697,19
age,0.014938950671729545,20
late_night_work_ratio,0.013547466615017963,21
lifestyle_risk_score,0.01280973017416253,22
income_diversification_score,0.010611037987372793,23
upi_transaction_count_monthly,0.01011698698141923,24
monthly_trips_or_orders,0.010061741448671332,25
mobile_recharge_frequency,0.006555696529258933,26
digital_wallet_balance_avg,0.005619113161717365,27
income_momentum,0.00560934090014582,28
income_trend_6m,0.004986951812938051,29
settlement_stability_score,0.004985755384529329,30
years_in_city,0.004965401557205122,31
has_life_insurance,0.003427408829696641,32
vehicle_owned,0.0016858905086179709,33
multi_platform_bonus,0.00028297028681988274,34
data_source,0.0,35
owns_smartphone_above_10k,0.0,36
active_platforms_count,0.0,37
